file,condition,year,scott,cat_price,sell_price
card_0005_raw_PS.jpg,,,,$7.00,$7.00
card_0006_raw_PS.jpg,Used,,FME2S,,
card_0007_raw_PS.jpg,Used,,,,
card_0008_raw_PS.jpg,Used,,,$2.00,$5.00
card_0009_raw_PS.jpg,,,,$7.00,$7.00
card_0010_raw_PS.jpg,Used,,FME2S,,
card_0011_raw_PS.jpg,Used,,,,
card_0012_raw_PS.jpg,Used,,,$2.00,$5.00
card_0013_raw_PS.jpg,Used,,B100,$8.00,$2.00
card_0014_raw_PS.jpg,,,2Y,$5.00,$28.00
card_0015_raw_PS.jpg,,,,$2.00,$4.00
card_0016_raw_PS.jpg,Used,,39,$1331.00,"$
7.00"
